Match_ID,Match_Date,Team,Opponent,Innings,Batsman,How_Out,Fielder,Bowler,Runs,Balls,Fours,Sixes,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Rohan Deshmukh,ctw,Varun G,Shourya B,17,23,2,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Guha Ayyar,lbw,,Anish A,51,42,7,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Matthew Prasanth,ct,Arnav C,Sriram D,20,22,3,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Krishna Ashok,ct,Sarish B,Sriram D,11,13,1,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Gautam Murthy,ctw,Shourya P,Varun G,1,6,0,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Sanjith Katakam,ct,Arnav C,Varun G,5,9,0,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Riswanth Visakan Soundrapandian,ct,Ratan T,Sriram D,0,5,0,0,.
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Mehaan Sehra,ro,Shourya P,Shourya B,1,11,0,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Rushil Walter,lbw,,Varun G,0,3,0,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Vihaan Chalamcharla,lbw,,Varun G,1,6,0,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Rayaan Shaik,,,,0,4,0,0,
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,1st,Wali Khan,,,,0,0,0,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Guha Ayyar,ct,Ansh S,Gursimran S,44,61,4,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Rohan Deshmukh,ro,Aarav D,Farhan M,6,16,1,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Matthew Prasanth,lbw,,Yuvraj J S,39,52,5,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Saanvi Sood,st,Farhan M,Jorawar S,8,12,1,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Krishna Ashok,b,,Yuvraj J S,26,19,4,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Gautam Murthy,,,,14,22,0,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Sanjith Katakam,,,,4,6,0,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Riswanth Visakan Soundrapandian,,,,0,0,0,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Mehaan Sehra,,,,0,0,0,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Vihaan Chalamcharla,,,,0,0,0,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Rushil Walter,,,,0,0,0,0,
Match_02,05-10-2024,LCCA Capitals,CMRC,1st,Wali Khan,,,,0,0,0,0,
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,1st,Guha Ayyar,b,,Vishruth N,9,12,1,0,
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,1st,Rohan Deshmukh,ro,Aniruddha B,Vishruth N,50,43,3,2,
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,1st,Matthew Prasanth,lbw,,Raaghav S,34,36,4,0,
