Match_ID,Match_Date,Team,Opponent,Innings,Bowler,Overs,Maidens,Runs_Conceded,Wickets,Extras,No Balls,Hattricks,Dot Balls
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,2nd,Guha Ayyar,5,0,21,0,2,1,0,21
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,2nd,Gautam Murthy,6,0,19,1,0,0,0,25
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,2nd,Matthew Prasanth,3.4,0,17,1,1,0,0,15
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,2nd,Krishna Ashok,6,2,14,3,0,0,0,27
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,2nd,Mehaan Sehra,1,0,13,0,2,3,0,2
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,2nd,Riswanth Visakan Soundrapandian,4,0,13,1,0,0,0,16
Match_01,12-10-2024,LCCA Capitals,WCA Warriors,2nd,Rushil Walter,2,0,13,1,1,0,0,6
Match_02,05-10-2024,LCCA Capitals,CMRC,2nd,Gautam Murthy,4,1,8,1,1,0,0,18
Match_02,05-10-2024,LCCA Capitals,CMRC,2nd,Riswanth Visakan Soundrapandian,2,0,13,0,1,0,0,14
Match_02,05-10-2024,LCCA Capitals,CMRC,2nd,Matthew Prasanth,4,1,9,3,3,0,0,14
Match_02,05-10-2024,LCCA Capitals,CMRC,2nd,Vihaan Chalamcharla,4,1,8,2,3,0,0,11
Match_02,05-10-2024,LCCA Capitals,CMRC,2nd,Rushil Walter,3,3,0,1,0,0,0,7
Match_02,05-10-2024,LCCA Capitals,CMRC,2nd,Mehaan Sehra,1.4,0,3,2,2,0,0,4
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,2nd,Gautam Murthy,4,0,12,1,0,0,0,18
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,2nd,Riswanth Visakan Soundrapandian,3,1,10,1,0,0,0,14
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,2nd,Wali Khan,3,0,19,1,6,0,0,14
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,2nd,Rushil Walter,3,0,10,2,2,0,0,11
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,2nd,Sanjith Katakam,2.1,0,9,2,1,0,0,7
Match_03,21-09-2024,LCCA Capitals,Future Stars Eagles,2nd,Mehaan Sehra,1,0,6,1,0,0,0,4
Match_04,14-09-2024,LCCA Capitals,WCA Warriors,2nd,Riswanth Visakan Soundrapandian,3.2,1,12,1,0,0,0,16
Match_04,14-09-2024,LCCA Capitals,WCA Warriors,2nd,Gautam Murthy,3,0,5,1,1,0,0,14
